TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Med$PerMWHr
8,0.0,2022.0,11.0,1.0,26.04571429,24.12,0.8660254,0.5,-0.85747499,0.51452564,0.03
9,0.0,2022.0,11.0,1.0,26.04571429,24.12,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10,0.0,2022.0,11.0,1.0,18.52285714,10.51,0.96592583,0.25881905,-0.85710573,0.51514054,0.48
11,0.0,2022.0,11.0,1.0,10.34333333,10.35,0.99144486,0.13052619,-0.85692093,0.51544789,7.855
12,0.0,2022.0,11.0,1.0,9.29,10.15,1.0,0.0,-0.85673602,0.51575517,7.325
13,0.0,2022.0,11.0,1.0,3.17857143,0.96,0.99144486,-0.13052619,-0.856551,0.51606239,10.87
14,0.0,2022.0,11.0,1.0,0.94,0.94,0.96592583,-0.25881905,-0.85636587,0.51636954,10.49
15,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,10.57
16,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,-0.5,-0.85599527,0.51698365,10.59
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,10.59
18,0.0,2022.0,11.0,1.0,0.48166667,0.48,0.70710678,-0.70710678,-0.85562424,0.51759748,10.29
19,0.0,2022.0,11.0,1.0,6.425,7.855,0.60876143,-0.79335334,-0.85543856,0.5179043,0.51
20,0.0,2022.0,11.0,1.0,6.03333333,7.325,0.5,-0.8660254,-0.85525277,0.51821105,10.55
21,0.0,2022.0,11.0,1.0,31.19857143,10.87,0.38268343,-0.92387953,-0.85506687,0.51851774,10.54
22,0.0,2022.0,11.0,1.0,21.31714286,10.49,0.25881905,-0.96592583,-0.85488086,0.51882436,10.59
23,0.0,2022.0,11.0,1.0,30.36285714,10.57,0.13052619,-0.99144486,-0.85469474,0.51913091,10.575
24,0.0,2022.0,11.0,1.0,10.59,10.59,0.0,-1.0,-0.85450851,0.51943739,10.54
25,0.0,2022.0,11.0,1.0,10.60428571,10.59,-0.13052619,-0.99144486,-0.85432217,0.51974381,0.53
26,0.0,2022.0,11.0,1.0,10.37,10.29,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.51
27,0.0,2022.0,11.0,1.0,3.3,0.51,-0.38268343,-0.92387953,-0.85394916,0.52035645,0.54
28,0.0,2022.0,11.0,1.0,9.13,10.55,-0.5,-0.8660254,-0.85376249,0.52066267,8.62
29,0.0,2022.0,11.0,1.0,10.59285714,10.54,-0.60876143,-0.79335334,-0.85357571,0.52096882,0.54
30,0.0,2022.0,11.0,1.0,25.06,10.59,-0.70710678,-0.70710678,-0.85338882,0.5212749,10.08
31,0.0,2022.0,11.0,1.0,10.545,10.575,-0.79335334,-0.60876143,-0.85320182,0.52158092,10.25
32,0.0,2022.0,11.0,1.0,10.54428571,10.54,-0.8660254,-0.5,-0.85301471,0.52188687,0.54
33,0.0,2022.0,11.0,1.0,1.90714286,0.53,-0.92387953,-0.38268343,-0.85282749,0.52219275,0.52
34,0.0,2022.0,11.0,1.0,0.51428571,0.51,-0.96592583,-0.25881905,-0.85264016,0.52249856,10.27
35,0.0,2022.0,11.0,1.0,2.37,0.54,-0.99144486,-0.13052619,-0.85245273,0.52280431,0.52
36,0.0,2022.0,11.0,1.0,6.76428571,8.62,-1.0,-0.0,-0.85226518,0.52310999,10.57
37,0.0,2022.0,11.0,1.0,2.47571429,0.54,-0.99144486,0.13052619,-0.85207752,0.52341561,10.56
38,0.0,2022.0,11.0,1.0,10.08,10.08,-0.96592583,0.25881905,-0.85188975,0.52372115,0.52
39,0.0,2022.0,11.0,1.0,9.82142857,10.25,-0.92387953,0.38268343,-0.85170188,0.52402663,0.02
40,0.0,2022.0,11.0,1.0,4.57285714,0.54,-0.8660254,0.5,-0.85151389,0.52433204,0.02
41,0.0,2022.0,11.0,1.0,4.51,0.52,-0.79335334,0.60876143,-0.8513258,0.52463739,0.02
42,0.0,2022.0,11.0,1.0,8.76714286,10.27,-0.70710678,0.70710678,-0.85113759,0.52494266,0.52
43,0.0,2022.0,11.0,1.0,1.56857143,0.52,-0.60876143,0.79335334,-0.85094928,0.52524787,0.52
44,0.0,2022.0,11.0,1.0,10.05714286,10.57,-0.5,0.8660254,-0.85076085,0.52555302,0.51
45,0.0,2022.0,11.0,1.0,9.44571429,10.56,-0.38268343,0.92387953,-0.85057232,0.52585809,0.265
46,0.0,2022.0,11.0,1.0,1.92714286,0.52,-0.25881905,0.96592583,-0.85038368,0.5261631,0.265
47,0.0,2022.0,11.0,1.0,0.02,0.02,-0.13052619,0.99144486,-0.85019492,0.52646803,2.84
48,0.0,2022.0,11.0,1.0,0.02,0.02,-0.0,1.0,-0.85000606,0.52677291,9.625
1,0.0,2022.0,11.0,2.0,0.02285714,0.02,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2,0.0,2022.0,11.0,2.0,1.22428571,0.52,0.25881905,0.96592583,-0.84962801,0.52738244,0.01
3,0.0,2022.0,11.0,2.0,2.57714286,0.52,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4,0.0,2022.0,11.0,2.0,0.50833333,0.51,0.5,0.8660254,-0.84924952,0.52799171,0.01
5,0.0,2022.0,11.0,2.0,1.09333333,0.265,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6,0.0,2022.0,11.0,2.0,1.07166667,0.265,0.70710678,0.70710678,-0.8488706,0.52860071,0.01
7,0.0,2022.0,11.0,2.0,3.66333333,2.84,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8,0.0,2022.0,11.0,2.0,6.885,9.625,0.8660254,0.5,-0.84849124,0.52920943,0.01
9,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10,0.0,2022.0,11.0,2.0,0.01571429,0.01,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12,0.0,2022.0,11.0,2.0,0.01,0.01,1.0,0.0,-0.8477312,0.53042606,0.01
13,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005,0.03
14,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,-0.25881905,-0.84735053,0.53103397,0.03
15,0.0,2022.0,11.0,2.0,0.01,0.01,0.92387953,-0.38268343,-0.84716003,0.53133782,0.04
16,0.0,2022.0,11.0,2.0,0.01,0.01,0.8660254,-0.5,-0.84696943,0.5316416,0.04
17,0.0,2022.0,11.0,2.0,0.01,0.01,0.79335334,-0.60876143,-0.84677871,0.53194531,0.14
18,0.0,2022.0,11.0,2.0,0.01,0.01,0.70710678,-0.70710678,-0.84658788,0.53224896,0.135
19,0.0,2022.0,11.0,2.0,0.01,0.01,0.60876143,-0.79335334,-0.84639695,0.53255254,0.13
20,0.0,2022.0,11.0,2.0,0.01,0.01,0.5,-0.8660254,-0.84620591,0.53285604,0.14
21,0.0,2022.0,11.0,2.0,0.02142857,0.03,0.38268343,-0.92387953,-0.84601475,0.53315948,0.13
22,0.0,2022.0,11.0,2.0,0.02857143,0.03,0.25881905,-0.96592583,-0.84582349,0.53346286,0.12
23,0.0,2022.0,11.0,2.0,0.04428571,0.04,0.13052619,-0.99144486,-0.84563212,0.53376616,10.295
24,0.0,2022.0,11.0,2.0,0.04333333,0.04,0.0,-1.0,-0.84544064,0.53406939,10.42
25,0.0,2022.0,11.0,2.0,0.22142857,0.14,-0.13052619,-0.99144486,-0.84524906,0.53437256,10.45
26,0.0,2022.0,11.0,2.0,0.25666667,0.135,-0.25881905,-0.96592583,-0.84505736,0.53467565,10.45
27,0.0,2022.0,11.0,2.0,0.17,0.13,-0.38268343,-0.92387953,-0.84486556,0.53497868,10.45
28,0.0,2022.0,11.0,2.0,0.17142857,0.14,-0.5,-0.8660254,-0.84467364,0.53528164,10.45
29,0.0,2022.0,11.0,2.0,0.12285714,0.13,-0.60876143,-0.79335334,-0.84448162,0.53558453,10.49
30,0.0,2022.0,11.0,2.0,0.10428571,0.12,-0.70710678,-0.70710678,-0.84428949,0.53588735,10.49
31,0.0,2022.0,11.0,2.0,7.26833333,10.295,-0.79335334,-0.60876143,-0.84409725,0.53619011,41.78
32,0.0,2022.0,11.0,2.0,10.39428571,10.42,-0.8660254,-0.5,-0.8439049,0.53649279,78.475
33,0.0,2022.0,11.0,2.0,9.23285714,10.45,-0.92387953,-0.38268343,-0.84371245,0.5367954,44.36
34,0.0,2022.0,11.0,2.0,9.59857143,10.45,-0.96592583,-0.25881905,-0.84351988,0.53709795,42.32
35,0.0,2022.0,11.0,2.0,9.26142857,10.45,-0.99144486,-0.13052619,-0.84332721,0.53740043,10.66
36,0.0,2022.0,11.0,2.0,10.458,10.45,-1.0,-0.0,-0.84313443,0.53770283,10.83
37,0.0,2022.0,11.0,2.0,9.81285714,10.49,-0.99144486,0.13052619,-0.84294154,0.53800517,10.66
38,0.0,2022.0,11.0,2.0,10.942,10.49,-0.96592583,0.25881905,-0.84274854,0.53830744,10.49
39,0.0,2022.0,11.0,2.0,31.69714286,41.78,-0.92387953,0.38268343,-0.84255543,0.53860964,10.44
40,0.0,2022.0,11.0,2.0,71.53,78.475,-0.8660254,0.5,-0.84236222,0.53891177,10.41
41,0.0,2022.0,11.0,2.0,42.86142857,44.36,-0.79335334,0.60876143,-0.84216889,0.53921383,10.57
42,0.0,2022.0,11.0,2.0,38.57142857,42.32,-0.70710678,0.70710678,-0.84197546,0.53951582,10.67
43,0.0,2022.0,11.0,2.0,10.97666667,10.66,-0.60876143,0.79335334,-0.84178192,0.53981775,10.56
44,0.0,2022.0,11.0,2.0,16.26,10.83,-0.5,0.8660254,-0.84158827,0.5401196,5.34
45,0.0,2022.0,11.0,2.0,10.65714286,10.66,-0.38268343,0.92387953,-0.84139451,0.54042138,10.49
46,0.0,2022.0,11.0,2.0,10.51,10.49,-0.25881905,0.96592583,-0.84120065,0.5407231,10.44
47,0.0,2022.0,11.0,2.0,8.86333333,10.44,-0.13052619,0.99144486,-0.84100668,0.54102474,10.495
48,0.0,2022.0,11.0,2.0,9.0,10.41,-0.0,1.0,-0.8408126,0.54132632,0.265
1,0.0,2022.0,11.0,3.0,10.55857143,10.57,0.13052619,0.99144486,-0.84061841,0.54162782,5.69
2,0.0,2022.0,11.0,3.0,19.35714286,10.67,0.25881905,0.96592583,-0.84042411,0.54192926,0.02
3,0.0,2022.0,11.0,3.0,10.52714286,10.56,0.38268343,0.92387953,-0.8402297,0.54223062,0.02
4,0.0,2022.0,11.0,3.0,5.445,5.34,0.5,0.8660254,-0.84003519,0.54253192,0.02
5,0.0,2022.0,11.0,3.0,8.81166667,10.49,0.60876143,0.79335334,-0.83984057,0.54283314,0.02
