@relation relation: PoC: STK0331; Target: Avg$PerMWHr; Delay: 24hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Avg$PerMWHr numeric

@data
48.0,0.0,2022.0,11.0,1.0,29.25,27.14,-0.0,1.0,-0.85000606,0.52677291,7.38333333
1.0,0.0,2022.0,11.0,2.0,29.25,27.14,0.13052619,0.99144486,-0.84981709,0.52707771,0.026
2.0,0.0,2022.0,11.0,2.0,20.43428571,11.66,0.25881905,0.96592583,-0.84962801,0.52738244,0.01285714
3.0,0.0,2022.0,11.0,2.0,11.32166667,11.335,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,9.975,10.865,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,3.43285714,1.04,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,1.015,1.02,0.70710678,0.70710678,-0.8488706,0.52860071,0.01285714
7.0,0.0,2022.0,11.0,2.0,0.02571429,0.03,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.02833333,0.03,0.8660254,0.5,-0.84849124,0.52920943,0.01
9.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10.0,0.0,2022.0,11.0,2.0,0.50166667,0.495,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11.0,0.0,2022.0,11.0,2.0,6.62,8.13,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12.0,0.0,2022.0,11.0,2.0,6.24,7.61,1.0,0.0,-0.8477312,0.53042606,0.01
13.0,0.0,2022.0,11.0,2.0,31.83428571,11.09,0.99144486,-0.13052619,-0.84754092,0.53073005,0.02
14.0,0.0,2022.0,11.0,2.0,21.73428571,10.63,0.96592583,-0.25881905,-0.84735053,0.53103397,0.02714286
15.0,0.0,2022.0,11.0,2.0,28.59285714,10.26,0.92387953,-0.38268343,-0.84716003,0.53133782,0.03
16.0,0.0,2022.0,11.0,2.0,10.31428571,10.33,0.8660254,-0.5,-0.84696943,0.5316416,0.03166667
17.0,0.0,2022.0,11.0,2.0,10.11285714,10.13,0.79335334,-0.60876143,-0.84677871,0.53194531,0.03285714
18.0,0.0,2022.0,11.0,2.0,9.75571429,9.69,0.70710678,-0.70710678,-0.84658788,0.53224896,0.03333333
19.0,0.0,2022.0,11.0,2.0,3.05,0.48,0.60876143,-0.79335334,-0.84639695,0.53255254,0.03333333
20.0,0.0,2022.0,11.0,2.0,8.46571429,9.78,0.5,-0.8660254,-0.84620591,0.53285604,0.03857143
21.0,0.0,2022.0,11.0,2.0,9.87142857,9.79,0.38268343,-0.92387953,-0.84601475,0.53315948,0.03285714
22.0,0.0,2022.0,11.0,2.0,23.63857143,10.01,0.25881905,-0.96592583,-0.84582349,0.53346286,0.03571429
23.0,0.0,2022.0,11.0,2.0,9.76833333,9.815,0.13052619,-0.99144486,-0.84563212,0.53376616,23.42833333
24.0,0.0,2022.0,11.0,2.0,9.72142857,9.72,0.0,-1.0,-0.84544064,0.53406939,9.74
25.0,0.0,2022.0,11.0,2.0,1.77714286,0.5,-0.13052619,-0.99144486,-0.84524906,0.53437256,8.61714286
26.0,0.0,2022.0,11.0,2.0,0.48571429,0.48,-0.25881905,-0.96592583,-0.84505736,0.53467565,9.07571429
27.0,0.0,2022.0,11.0,2.0,2.28714286,0.52,-0.38268343,-0.92387953,-0.84486556,0.53497868,8.90142857
28.0,0.0,2022.0,11.0,2.0,6.48428571,8.34,-0.5,-0.8660254,-0.84467364,0.53528164,10.066
29.0,0.0,2022.0,11.0,2.0,2.39,0.52,-0.60876143,-0.79335334,-0.84448162,0.53558453,9.72
30.0,0.0,2022.0,11.0,2.0,9.52285714,9.49,-0.70710678,-0.70710678,-0.84428949,0.53588735,10.922
31.0,0.0,2022.0,11.0,2.0,9.24142857,9.64,-0.79335334,-0.60876143,-0.84409725,0.53619011,32.21857143
32.0,0.0,2022.0,11.0,2.0,4.12571429,0.49,-0.8660254,-0.5,-0.8439049,0.53649279,71.88
33.0,0.0,2022.0,11.0,2.0,4.12857143,0.47,-0.92387953,-0.38268343,-0.84371245,0.5367954,43.69285714
34.0,0.0,2022.0,11.0,2.0,8.10428571,9.49,-0.96592583,-0.25881905,-0.84351988,0.53709795,39.35428571
35.0,0.0,2022.0,11.0,2.0,1.44714286,0.46,-0.99144486,-0.13052619,-0.84332721,0.53740043,11.20333333
36.0,0.0,2022.0,11.0,2.0,9.43571429,9.94,-1.0,-0.0,-0.84313443,0.53770283,16.39666667
37.0,0.0,2022.0,11.0,2.0,8.86285714,9.88,-0.99144486,0.13052619,-0.84294154,0.53800517,10.64571429
38.0,0.0,2022.0,11.0,2.0,1.81714286,0.48,-0.96592583,0.25881905,-0.84274854,0.53830744,10.37142857
39.0,0.0,2022.0,11.0,2.0,0.02,0.02,-0.92387953,0.38268343,-0.84255543,0.53860964,8.64333333
40.0,0.0,2022.0,11.0,2.0,0.01833333,0.02,-0.8660254,0.5,-0.84236222,0.53891177,8.53142857
41.0,0.0,2022.0,11.0,2.0,0.01142857,0.01,-0.79335334,0.60876143,-0.84216889,0.53921383,9.7
42.0,0.0,2022.0,11.0,2.0,1.11142857,0.47,-0.70710678,0.70710678,-0.84197546,0.53951582,18.03142857
43.0,0.0,2022.0,11.0,2.0,2.35,0.47,-0.60876143,0.79335334,-0.84178192,0.53981775,9.80285714
44.0,0.0,2022.0,11.0,2.0,0.47,0.475,-0.5,0.8660254,-0.84158827,0.5401196,5.09833333
45.0,0.0,2022.0,11.0,2.0,1.055,0.255,-0.38268343,0.92387953,-0.84139451,0.54042138,8.435
46.0,0.0,2022.0,11.0,2.0,1.05333333,0.26,-0.25881905,0.96592583,-0.84120065,0.5407231,9.93
47.0,0.0,2022.0,11.0,2.0,6.485,2.945,-0.13052619,0.99144486,-0.84100668,0.54102474,10.17333333
48.0,0.0,2022.0,11.0,2.0,7.38333333,10.305,-0.0,1.0,-0.8408126,0.54132632,0.25666667
1.0,0.0,2022.0,11.0,3.0,0.026,0.03,0.13052619,0.99144486,-0.84061841,0.54162782,5.64666667
2.0,0.0,2022.0,11.0,3.0,0.01285714,0.01,0.25881905,0.96592583,-0.84042411,0.54192926,0.02
3.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.38268343,0.92387953,-0.8402297,0.54223062,0.02
4.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.5,0.8660254,-0.84003519,0.54253192,0.01857143
5.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.60876143,0.79335334,-0.83984057,0.54283314,0.01666667
6.0,0.0,2022.0,11.0,3.0,0.01285714,0.01,0.70710678,0.70710678,-0.83964584,0.5431343,0.01142857
7.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.79335334,0.60876143,-0.839451,0.54343539,0.01
8.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.8660254,0.5,-0.83925605,0.5437364,0.01
9.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.92387953,0.38268343,-0.839061,0.54403735,0.01
10.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.96592583,0.25881905,-0.83886584,0.54433823,0.01
11.0,0.0,2022.0,11.0,3.0,0.01,0.01,0.99144486,0.13052619,-0.83867057,0.54463904,0.01166667
12.0,0.0,2022.0,11.0,3.0,0.01,0.01,1.0,0.0,-0.83847519,0.54493977,0.01666667
13.0,0.0,2022.0,11.0,3.0,0.02,0.02,0.99144486,-0.13052619,-0.83827971,0.54524044,1.75666667
14.0,0.0,2022.0,11.0,3.0,0.02714286,0.03,0.96592583,-0.25881905,-0.83808411,0.54554104,4.84833333
15.0,0.0,2022.0,11.0,3.0,0.03,0.03,0.92387953,-0.38268343,-0.83788841,0.54584156,9.04285714
16.0,0.0,2022.0,11.0,3.0,0.03166667,0.03,0.8660254,-0.5,-0.8376926,0.54614202,15.11428571
17.0,0.0,2022.0,11.0,3.0,0.03285714,0.03,0.79335334,-0.60876143,-0.83749669,0.5464424,71.45
18.0,0.0,2022.0,11.0,3.0,0.03333333,0.03,0.70710678,-0.70710678,-0.83730066,0.54674272,34.60666667
19.0,0.0,2022.0,11.0,3.0,0.03333333,0.03,0.60876143,-0.79335334,-0.83710453,0.54704296,38.79
20.0,0.0,2022.0,11.0,3.0,0.03857143,0.04,0.5,-0.8660254,-0.83690829,0.54734314,9.51
21.0,0.0,2022.0,11.0,3.0,0.03285714,0.03,0.38268343,-0.92387953,-0.83671194,0.54764324,9.47666667
22.0,0.0,2022.0,11.0,3.0,0.03571429,0.04,0.25881905,-0.96592583,-0.83651549,0.54794328,9.72833333
23.0,0.0,2022.0,11.0,3.0,23.42833333,9.625,0.13052619,-0.99144486,-0.83631893,0.54824324,23.46166667
24.0,0.0,2022.0,11.0,3.0,9.74,9.74,0.0,-1.0,-0.83612226,0.54854314,36.01
25.0,0.0,2022.0,11.0,3.0,8.61714286,9.72,-0.13052619,-0.99144486,-0.83592548,0.54884296,9.65
26.0,0.0,2022.0,11.0,3.0,9.07571429,9.94,-0.25881905,-0.96592583,-0.83572859,0.54914271,46.87333333
27.0,0.0,2022.0,11.0,3.0,8.90142857,10.04,-0.38268343,-0.92387953,-0.8355316,0.54944239,9.08428571
28.0,0.0,2022.0,11.0,3.0,10.066,10.01,-0.5,-0.8660254,-0.8353345,0.549742,9.11333333
29.0,0.0,2022.0,11.0,3.0,9.72,10.45,-0.60876143,-0.79335334,-0.83513729,0.55004154,9.04333333
30.0,0.0,2022.0,11.0,3.0,10.922,10.47,-0.70710678,-0.70710678,-0.83493998,0.55034101,8.90833333
31.0,0.0,2022.0,11.0,3.0,32.21857143,42.66,-0.79335334,-0.60876143,-0.83474256,0.55064041,8.95166667
32.0,0.0,2022.0,11.0,3.0,71.88,78.755,-0.8660254,-0.5,-0.83454503,0.55093974,9.18
33.0,0.0,2022.0,11.0,3.0,43.69285714,44.87,-0.92387953,-0.38268343,-0.83434739,0.551239,9.25
